structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,employment_value,observation_status,is_estimated
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,142519.7,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,144103.3,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,146055.5,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,147191.3,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,137976.8,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,142453.3,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,147716.9,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,150157.3,Normal value,False
Employed population by age groups,USA,United States,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,150069.8,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,11508.64,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,11728.52,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,11994.67,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,12245.32,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,12025.27,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,12353.46,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,12918.69,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,13340.93,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,13605.07,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,13838.21,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,4142.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,4185.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,4241.25,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,4280.25,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,4185.0,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,4231.7,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,4357.25,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,4394.3,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,4395.075,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,4399.225,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,4587.25,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,4699.5,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,4770.75,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,4720.5,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,4794.75,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,4920.875,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,4954.125,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,4981.15,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,5040.9,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,17244.45,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,17595.72,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,17895.98,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,18178.05,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,17232.58,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,18084.44,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,18778.04,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,19299.07,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,19654.32,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,19898.88,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,7914.996,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,8094.571,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,8262.912,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,8416.238,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,7452.972,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,7874.597,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,8377.637,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,8535.195,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,8734.946,Normal value,False
Employed population by age groups,CHL,Chile,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,8792.703,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,20340.36,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,20617.33,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,20865.83,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,20992.85,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,18940.33,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,19411.97,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,20888.85,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,21544.79,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,21708.16,Normal value,False
Employed population by age groups,COL,Colombia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,22416.26,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,1935.171,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,1977.675,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,2030.208,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,2076.588,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,1853.129,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,1954.68,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,2071.879,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,2016.943,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,2102.648,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,2102.294,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2016,5015.875,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,5093.875,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,5146.825,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,5150.95,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,5086.875,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,5021.225,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,4890.35,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2024,5010.45,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2025,5063.25,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2017,2698.075,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2018,2739.325,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2019,2779.125,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2020,2752.775,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2021,2794.275,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2022,2864.2,Normal value,False
Employed population by age groups,DNK,Denmark,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Annual,2023,2881.3,Normal value,False
