structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2016,422.397,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2017,421.669,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2018,422.821,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2019,424.071,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2020,424.375,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2021,425.276,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2022,430.846,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Male,From 15 to 64 years,2016,19277.415,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Male,From 15 to 64 years,2017,19270.19,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2016,617.762,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2017,608.237,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2018,601.837,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2019,596.632,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2020,590.961,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2021,585.713,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2022,584.014,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2016,919.296,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2017,902.987,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2018,894.255,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2019,896.364,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2020,903.976,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2021,896.4,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2016,206.756,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2017,211.684,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2018,216.073,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2019,220.431,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2020,224.047,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2021,227.459,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2022,231.76,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2016,13217.466,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2017,13095.359,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2018,12965.971,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2019,12837.342,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2022,12365.183,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2016,27190.899,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2017,27570.922,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2018,27927.944,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2019,28323.808,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2020,28571.009,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2021,28827.193,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Male,From 15 to 64 years,2022,29188.922,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Male,From 15 to 64 years,2016,1539.164,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Male,From 15 to 64 years,2016,7939.633,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2016,1532.01,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2017,1568.75,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2018,1601.06,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2016,106138.74,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2017,106427.613,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2018,106584.496,Normal value,False
Historical population data,USA,United States,Population,Persons,Male,From 15 to 64 years,2019,106664.985,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2016,2574.361,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2017,2615.784,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2018,2660.082,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2019,2707.442,Normal value,False
Historical population data,DEU,Germany,Population,Persons,Male,From 15 to 64 years,2016,27407.405,Normal value,False
Historical population data,DEU,Germany,Population,Persons,Male,From 15 to 64 years,2017,27388.1,Normal value,False
Historical population data,DEU,Germany,Population,Persons,Male,From 15 to 64 years,2018,27361.137,Normal value,False
Historical population data,DEU,Germany,Population,Persons,Male,From 15 to 64 years,2019,27302.019,Normal value,False
Historical population data,DEU,Germany,Population,Persons,Male,From 15 to 64 years,2020,27182.913,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2016,20568.569,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2017,20536.531,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2018,20540.963,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2019,20551.278,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Male,From 15 to 64 years,2016,2840.39,Normal value,False
